,Day1,Day2,Day3,Day4,NextDay
264,113.4,77.2,56.2,120.2,119
265,77.2,56.2,120.2,119,110.6
266,56.2,120.2,119,110.6,114.2
267,120.2,119,110.6,114.2,105.8
268,119,110.6,114.2,105.8,75
269,110.6,114.2,105.8,75,57.2
270,114.2,105.8,75,57.2,120.4
271,105.8,75,57.2,120.4,110.2
272,75,57.2,120.4,110.2,126
273,57.2,120.4,110.2,126,118
274,120.4,110.2,126,118,108.8
275,110.2,126,118,108.8,76.2
276,126,118,108.8,76.2,51.8
277,118,108.8,76.2,51.8,128.4
278,108.8,76.2,51.8,128.4,117.4
279,76.2,51.8,128.4,117.4,136.8
280,51.8,128.4,117.4,136.8,135.6
281,128.4,117.4,136.8,135.6,122.4
282,117.4,136.8,135.6,122.4,105.8
283,136.8,135.6,122.4,105.8,55.8
284,135.6,122.4,105.8,55.8,122.8
285,122.4,105.8,55.8,122.8,134
286,105.8,55.8,122.8,134,127
287,55.8,122.8,134,127,123.8
288,122.8,134,127,123.8,127.2
289,134,127,123.8,127.2,85.2
290,127,123.8,127.2,85.2,61.6
291,123.8,127.2,85.2,61.6,118.8
292,127.2,85.2,61.6,118.8,123.6
293,85.2,61.6,118.8,123.6,112.4
294,61.6,118.8,123.6,112.4,115.8
295,118.8,123.6,112.4,115.8,114.8
296,123.6,112.4,115.8,114.8,81.6
297,112.4,115.8,114.8,81.6,63.8
298,115.8,114.8,81.6,63.8,109.2
299,114.8,81.6,63.8,109.2,123.6
300,81.6,63.8,109.2,123.6,117.8
301,63.8,109.2,123.6,117.8,115.2
302,109.2,123.6,117.8,115.2,105.8
303,123.6,117.8,115.2,105.8,84.6
304,117.8,115.2,105.8,84.6,72.8
305,115.2,105.8,84.6,72.8,116.8
306,105.8,84.6,72.8,116.8,118
307,84.6,72.8,116.8,118,112.8
308,72.8,116.8,118,112.8,108
309,116.8,118,112.8,108,112
310,118,112.8,108,112,87.8
311,112.8,108,112,87.8,57.2
312,108,112,87.8,57.2,116.4
313,112,87.8,57.2,116.4,116.4
314,87.8,57.2,116.4,116.4,111.4
315,57.2,116.4,116.4,111.4,114.2
316,116.4,116.4,111.4,114.2,114.8
317,116.4,111.4,114.2,114.8,75.2
318,111.4,114.2,114.8,75.2,60.4
319,114.2,114.8,75.2,60.4,124.4
320,114.8,75.2,60.4,124.4,128.6
321,75.2,60.4,124.4,128.6,131.6
322,60.4,124.4,128.6,131.6,132
323,124.4,128.6,131.6,132,119.6
324,128.6,131.6,132,119.6,82.2
325,131.6,132,119.6,82.2,61
326,132,119.6,82.2,61,129.8
327,119.6,82.2,61,129.8,134.8
328,82.2,61,129.8,134.8,124.6
329,61,129.8,134.8,124.6,107.6
330,129.8,134.8,124.6,107.6,112.4
331,134.8,124.6,107.6,112.4,85.8
332,124.6,107.6,112.4,85.8,61.2
333,107.6,112.4,85.8,61.2,117
334,112.4,85.8,61.2,117,123.6
335,85.8,61.2,117,123.6,117.4
336,61.2,117,123.6,117.4,115.8
337,117,123.6,117.4,115.8,116.4
338,123.6,117.4,115.8,116.4,81.8
339,117.4,115.8,116.4,81.8,63
340,115.8,116.4,81.8,63,130.6
341,116.4,81.8,63,130.6,118.4
342,81.8,63,130.6,118.4,122.4
343,63,130.6,118.4,122.4,125
344,130.6,118.4,122.4,125,129.4
345,118.4,122.4,125,129.4,91
346,122.4,125,129.4,91,64.6
347,125,129.4,91,64.6,102.8
348,129.4,91,64.6,102.8,104.4
349,91,64.6,102.8,104.4,103.4
350,64.6,102.8,104.4,103.4,98.8
351,102.8,104.4,103.4,98.8,96.6
352,104.4,103.4,98.8,96.6,68.4
353,103.4,98.8,96.6,68.4,54.2
354,98.8,96.6,68.4,54.2,78.6
355,96.6,68.4,54.2,78.6,77.2
356,68.4,54.2,78.6,77.2,73
357,54.2,78.6,77.2,73,78.4
358,78.6,77.2,73,78.4,79.4
359,77.2,73,78.4,79.4,70.4
360,73,78.4,79.4,70.4,59.6
361,78.4,79.4,70.4,59.6,77.4
362,79.4,70.4,59.6,77.4,80.2
363,70.4,59.6,77.4,80.2,111.6
364,59.6,77.4,80.2,111.6,113.8
365,77.4,80.2,111.6,113.8,108.6
366,80.2,111.6,113.8,108.6,79.6
367,111.6,113.8,108.6,79.6,62.4
368,113.8,108.6,79.6,62.4,108.8
369,108.6,79.6,62.4,108.8,105
370,79.6,62.4,108.8,105,118.4
371,62.4,108.8,105,118.4,110.2
372,108.8,105,118.4,110.2,112.2
373,105,118.4,110.2,112.2,87.6
374,118.4,110.2,112.2,87.6,65.8
375,110.2,112.2,87.6,65.8,110
376,112.2,87.6,65.8,110,105.8
377,87.6,65.8,110,105.8,106
378,65.8,110,105.8,106,115
379,110,105.8,106,115,116.4
380,105.8,106,115,116.4,95.8
381,106,115,116.4,95.8,68.4
382,115,116.4,95.8,68.4,139
383,116.4,95.8,68.4,139,135.8
384,95.8,68.4,139,135.8,128.2
385,68.4,139,135.8,128.2,136
386,139,135.8,128.2,136,105
387,135.8,128.2,136,105,91.6
388,128.2,136,105,91.6,67.8
389,136,105,91.6,67.8,139.2
390,105,91.6,67.8,139.2,135.2
391,91.6,67.8,139.2,135.2,125.8
392,67.8,139.2,135.2,125.8,136
393,139.2,135.2,125.8,136,111.4
394,135.2,125.8,136,111.4,87.2
395,125.8,136,111.4,87.2,71.6
396,136,111.4,87.2,71.6,134.8
397,111.4,87.2,71.6,134.8,125
398,87.2,71.6,134.8,125,119.8
399,71.6,134.8,125,119.8,119.2
400,134.8,125,119.8,119.2,120.2
401,125,119.8,119.2,120.2,96.8
402,119.8,119.2,120.2,96.8,65.8
403,119.2,120.2,96.8,65.8,119
404,120.2,96.8,65.8,119,133
405,96.8,65.8,119,133,118.8
406,65.8,119,133,118.8,117.2
407,119,133,118.8,117.2,113.8
408,133,118.8,117.2,113.8,84.6
409,118.8,117.2,113.8,84.6,55
410,117.2,113.8,84.6,55,101.4
411,113.8,84.6,55,101.4,107.2
412,84.6,55,101.4,107.2,101.4
413,55,101.4,107.2,101.4,106.8
414,101.4,107.2,101.4,106.8,101
415,107.2,101.4,106.8,101,78.4
416,101.4,106.8,101,78.4,57
417,106.8,101,78.4,57,98.4
418,101,78.4,57,98.4,102.4
419,78.4,57,98.4,102.4,109
420,57,98.4,102.4,109,111.6
421,98.4,102.4,109,111.6,104
422,102.4,109,111.6,104,82.2
423,109,111.6,104,82.2,58.6
424,111.6,104,82.2,58.6,116
425,104,82.2,58.6,116,112.6
426,82.2,58.6,116,112.6,108.6
427,58.6,116,112.6,108.6,107.2
428,116,112.6,108.6,107.2,103
429,112.6,108.6,107.2,103,81
430,108.6,107.2,103,81,53.2
431,107.2,103,81,53.2,113.6
432,103,81,53.2,113.6,100.8
433,81,53.2,113.6,100.8,124
434,53.2,113.6,100.8,124,124.8
435,113.6,100.8,124,124.8,119
436,100.8,124,124.8,119,89.4
437,124,124.8,119,89.4,58.2
438,124.8,119,89.4,58.2,133.8
439,119,89.4,58.2,133.8,124
440,89.4,58.2,133.8,124,126.2
441,58.2,133.8,124,126.2,121.8
442,133.8,124,126.2,121.8,123.8
443,124,126.2,121.8,123.8,95.6
444,126.2,121.8,123.8,95.6,54.2
445,121.8,123.8,95.6,54.2,125.8
446,123.8,95.6,54.2,125.8,128.2
447,95.6,54.2,125.8,128.2,116.2
448,54.2,125.8,128.2,116.2,123.8
449,125.8,128.2,116.2,123.8,112.8
450,128.2,116.2,123.8,112.8,106.4
451,116.2,123.8,112.8,106.4,51.4
452,123.8,112.8,106.4,51.4,129.4
453,112.8,106.4,51.4,129.4,137
454,106.4,51.4,129.4,137,132.4
455,51.4,129.4,137,132.4,140.8
456,129.4,137,132.4,140.8,125.2
457,137,132.4,140.8,125.2,94
458,132.4,140.8,125.2,94,55.4
459,140.8,125.2,94,55.4,137.8
460,125.2,94,55.4,137.8,127.2
461,94,55.4,137.8,127.2,131
462,55.4,137.8,127.2,131,132
463,137.8,127.2,131,132,127.8
464,127.2,131,132,127.8,100.2
465,131,132,127.8,100.2,53.6
466,132,127.8,100.2,53.6,108.4
467,127.8,100.2,53.6,108.4,120
468,100.2,53.6,108.4,120,106.8
469,53.6,108.4,120,106.8,103
470,108.4,120,106.8,103,89.6
471,120,106.8,103,89.6,88.4
472,106.8,103,89.6,88.4,48.2
473,103,89.6,88.4,48.2,103.4
474,89.6,88.4,48.2,103.4,125.6
475,88.4,48.2,103.4,125.6,100
476,48.2,103.4,125.6,100,98.2
477,103.4,125.6,100,98.2,92.4
478,125.6,100,98.2,92.4,80.8
479,100,98.2,92.4,80.8,51.8
480,98.2,92.4,80.8,51.8,111.2
481,92.4,80.8,51.8,111.2,108.4
482,80.8,51.8,111.2,108.4,105.8
483,51.8,111.2,108.4,105.8,103
484,111.2,108.4,105.8,103,106.4
485,108.4,105.8,103,106.4,78.8
486,105.8,103,106.4,78.8,53.6
487,103,106.4,78.8,53.6,78.4
488,106.4,78.8,53.6,78.4,106.4
489,78.8,53.6,78.4,106.4,115.2
490,53.6,78.4,106.4,115.2,108.6
491,78.4,106.4,115.2,108.6,96.2
492,106.4,115.2,108.6,96.2,82
493,115.2,108.6,96.2,82,52.8
494,108.6,96.2,82,52.8,100.8
495,96.2,82,52.8,100.8,107.6
496,82,52.8,100.8,107.6,76.2
