,Day1_9,Day1_10,Day1_11,Day2_9,Day2_10,Day2_11,Day3_9,Day3_10,Day3_11,NextDay_9,NextDay_10,NextDay_11
120,133,139.2,143,110.6,115.4,122.2,109.2,123.4,122.8,107,113.8,115.6
121,110.6,115.4,122.2,109.2,123.4,122.8,107,113.8,115.6,98,102.8,108
122,109.2,123.4,122.8,107,113.8,115.6,98,102.8,108,73.6,75.6,76.6
123,107,113.8,115.6,98,102.8,108,73.6,75.6,76.6,59,60,62
124,98,102.8,108,73.6,75.6,76.6,59,60,62,73,73,72.4
125,73.6,75.6,76.6,59,60,62,73,73,72.4,106.2,111,115.2
126,59,60,62,73,73,72.4,106.2,111,115.2,96.6,98.8,103.8
127,73,73,72.4,106.2,111,115.2,96.6,98.8,103.8,92.4,109.6,114
128,106.2,111,115.2,96.6,98.8,103.8,92.4,109.6,114,104,108.2,110.6
129,96.6,98.8,103.8,92.4,109.6,114,104,108.2,110.6,74.8,75.2,78
130,92.4,109.6,114,104,108.2,110.6,74.8,75.2,78,62.2,62.8,62.8
131,104,108.2,110.6,74.8,75.2,78,62.2,62.8,62.8,102.6,109.6,109.4
132,74.8,75.2,78,62.2,62.8,62.8,102.6,109.6,109.4,103.6,105.8,105.8
133,62.2,62.8,62.8,102.6,109.6,109.4,103.6,105.8,105.8,105.2,107.6,106
134,102.6,109.6,109.4,103.6,105.8,105.8,105.2,107.6,106,102,102.8,103.8
135,103.6,105.8,105.8,105.2,107.6,106,102,102.8,103.8,99.6,104.4,105.6
136,105.2,107.6,106,102,102.8,103.8,99.6,104.4,105.6,76.8,77.4,77.6
137,102,102.8,103.8,99.6,104.4,105.6,76.8,77.4,77.6,58.8,60.4,60.6
138,99.6,104.4,105.6,76.8,77.4,77.6,58.8,60.4,60.6,95.4,103,103.6
139,76.8,77.4,77.6,58.8,60.4,60.6,95.4,103,103.6,95,98,99.6
140,58.8,60.4,60.6,95.4,103,103.6,95,98,99.6,91.2,96.4,102.6
141,95.4,103,103.6,95,98,99.6,91.2,96.4,102.6,93.4,102,101.2
142,95,98,99.6,91.2,96.4,102.6,93.4,102,101.2,88.8,91.2,95
143,91.2,96.4,102.6,93.4,102,101.2,88.8,91.2,95,73.2,74.8,73.8
144,93.4,102,101.2,88.8,91.2,95,73.2,74.8,73.8,58.6,60.2,60.2
145,88.8,91.2,95,73.2,74.8,73.8,58.6,60.2,60.2,69.4,69.4,69.6
146,73.2,74.8,73.8,58.6,60.2,60.2,69.4,69.4,69.6,91,98.2,100.2
147,58.6,60.2,60.2,69.4,69.4,69.6,91,98.2,100.2,92.4,93.4,95.8
148,69.4,69.4,69.6,91,98.2,100.2,92.4,93.4,95.8,93.2,96.8,103.6
149,91,98.2,100.2,92.4,93.4,95.8,93.2,96.8,103.6,92.8,94.2,98.8
150,92.4,93.4,95.8,93.2,96.8,103.6,92.8,94.2,98.8,71.8,71.6,70.6
151,93.2,96.8,103.6,92.8,94.2,98.8,71.8,71.6,70.6,57,57.2,56.6
152,92.8,94.2,98.8,71.8,71.6,70.6,57,57.2,56.6,92.6,95.2,97.6
153,71.8,71.6,70.6,57,57.2,56.6,92.6,95.2,97.6,94.2,112.4,119.2
154,57,57.2,56.6,92.6,95.2,97.6,94.2,112.4,119.2,94.6,102.4,103.8
155,92.6,95.2,97.6,94.2,112.4,119.2,94.6,102.4,103.8,89,91.8,93.2
156,94.2,112.4,119.2,94.6,102.4,103.8,89,91.8,93.2,86,90.8,96
157,94.6,102.4,103.8,89,91.8,93.2,86,90.8,96,72.8,73.8,72.8
158,89,91.8,93.2,86,90.8,96,72.8,73.8,72.8,55.6,55.6,56.4
159,86,90.8,96,72.8,73.8,72.8,55.6,55.6,56.4,91.8,95,99.4
160,72.8,73.8,72.8,55.6,55.6,56.4,91.8,95,99.4,92.8,95.4,96.6
161,55.6,55.6,56.4,91.8,95,99.4,92.8,95.4,96.6,91,98.8,104.8
162,91.8,95,99.4,92.8,95.4,96.6,91,98.8,104.8,97.6,98.6,100.4
163,92.8,95.4,96.6,91,98.8,104.8,97.6,98.6,100.4,89.6,90.4,98.2
164,91,98.8,104.8,97.6,98.6,100.4,89.6,90.4,98.2,81.8,83.4,84.2
165,97.6,98.6,100.4,89.6,90.4,98.2,81.8,83.4,84.2,55.6,56,57.4
166,89.6,90.4,98.2,81.8,83.4,84.2,55.6,56,57.4,93,97.4,100.4
167,81.8,83.4,84.2,55.6,56,57.4,93,97.4,100.4,91.2,105.2,106.4
168,55.6,56,57.4,93,97.4,100.4,91.2,105.2,106.4,89,93.8,93.8
169,93,97.4,100.4,91.2,105.2,106.4,89,93.8,93.8,92,102,103.2
170,91.2,105.2,106.4,89,93.8,93.8,92,102,103.2,89.4,95.2,98.6
171,89,93.8,93.8,92,102,103.2,89.4,95.2,98.6,73.4,76.2,75.8
172,92,102,103.2,89.4,95.2,98.6,73.4,76.2,75.8,59.2,60.2,64.6
173,89.4,95.2,98.6,73.4,76.2,75.8,59.2,60.2,64.6,97,107.4,108.6
174,73.4,76.2,75.8,59.2,60.2,64.6,97,107.4,108.6,96.6,106.8,112.6
175,59.2,60.2,64.6,97,107.4,108.6,96.6,106.8,112.6,98.8,106.6,109.6
176,97,107.4,108.6,96.6,106.8,112.6,98.8,106.6,109.6,94.6,103.4,105.2
177,96.6,106.8,112.6,98.8,106.6,109.6,94.6,103.4,105.2,91.8,101,103
178,98.8,106.6,109.6,94.6,103.4,105.2,91.8,101,103,79,78.4,78.4
179,94.6,103.4,105.2,91.8,101,103,79,78.4,78.4,61,62.6,62.6
180,91.8,101,103,79,78.4,78.4,61,62.6,62.6,104.6,116.4,117.6
181,79,78.4,78.4,61,62.6,62.6,104.6,116.4,117.6,89.4,100.6,99.2
182,61,62.6,62.6,104.6,116.4,117.6,89.4,100.6,99.2,86.4,100.2,99.8
183,104.6,116.4,117.6,89.4,100.6,99.2,86.4,100.2,99.8,90,100.2,102.2
184,89.4,100.6,99.2,86.4,100.2,99.8,90,100.2,102.2,89,103,105.8
185,86.4,100.2,99.8,90,100.2,102.2,89,103,105.8,69.6,69.8,70.6
186,90,100.2,102.2,89,103,105.8,69.6,69.8,70.6,63.6,63.6,65.4
187,89,103,105.8,69.6,69.8,70.6,63.6,63.6,65.4,93.6,105.8,109.8
188,69.6,69.8,70.6,63.6,63.6,65.4,93.6,105.8,109.8,83.2,86.2,87.4
189,63.6,63.6,65.4,93.6,105.8,109.8,83.2,86.2,87.4,79,94.2,98.4
190,93.6,105.8,109.8,83.2,86.2,87.4,79,94.2,98.4,88.4,90.4,100
191,83.2,86.2,87.4,79,94.2,98.4,88.4,90.4,100,84.2,91,90.8
192,79,94.2,98.4,88.4,90.4,100,84.2,91,90.8,71.4,72.8,73.2
193,88.4,90.4,100,84.2,91,90.8,71.4,72.8,73.2,65.2,66.8,67.6
194,84.2,91,90.8,71.4,72.8,73.2,65.2,66.8,67.6,92.6,106,113.6
195,71.4,72.8,73.2,65.2,66.8,67.6,92.6,106,113.6,90,107.4,102.8
196,65.2,66.8,67.6,92.6,106,113.6,90,107.4,102.8,86.8,94.6,96
197,92.6,106,113.6,90,107.4,102.8,86.8,94.6,96,86.4,98,100.4
198,90,107.4,102.8,86.8,94.6,96,86.4,98,100.4,85.4,90.4,99.2
199,86.8,94.6,96,86.4,98,100.4,85.4,90.4,99.2,72.2,71.2,73.8
200,86.4,98,100.4,85.4,90.4,99.2,72.2,71.2,73.8,65.4,64.8,65.6
201,85.4,90.4,99.2,72.2,71.2,73.8,65.4,64.8,65.6,106.8,106.8,119.2
202,72.2,71.2,73.8,65.4,64.8,65.6,106.8,106.8,119.2,97.2,108.2,111.8
203,65.4,64.8,65.6,106.8,106.8,119.2,97.2,108.2,111.8,105.8,109.8,111.6
204,106.8,106.8,119.2,97.2,108.2,111.8,105.8,109.8,111.6,103,118.2,115.8
205,97.2,108.2,111.8,105.8,109.8,111.6,103,118.2,115.8,96.4,105.8,106
206,105.8,109.8,111.6,103,118.2,115.8,96.4,105.8,106,71,68.6,67.6
207,103,118.2,115.8,96.4,105.8,106,71,68.6,67.6,58.2,60,61.8
208,96.4,105.8,106,71,68.6,67.6,58.2,60,61.8,89.2,98.8,100.2
209,71,68.6,67.6,58.2,60,61.8,89.2,98.8,100.2,90,99.2,95.2
210,58.2,60,61.8,89.2,98.8,100.2,90,99.2,95.2,110.8,118.8,114.8
211,89.2,98.8,100.2,90,99.2,95.2,110.8,118.8,114.8,84.2,94,95.4
212,90,99.2,95.2,110.8,118.8,114.8,84.2,94,95.4,85.6,95.4,96.2
213,110.8,118.8,114.8,84.2,94,95.4,85.6,95.4,96.2,69.2,68.2,71.2
214,84.2,94,95.4,85.6,95.4,96.2,69.2,68.2,71.2,62.4,64.2,64.6
215,85.6,95.4,96.2,69.2,68.2,71.2,62.4,64.2,64.6,87.8,102,99.2
216,69.2,68.2,71.2,62.4,64.2,64.6,87.8,102,99.2,85.2,102.4,105
217,62.4,64.2,64.6,87.8,102,99.2,85.2,102.4,105,84.8,97.4,96
218,87.8,102,99.2,85.2,102.4,105,84.8,97.4,96,83.6,97,102.6
219,85.2,102.4,105,84.8,97.4,96,83.6,97,102.6,81.8,85.8,87.8
220,84.8,97.4,96,83.6,97,102.6,81.8,85.8,87.8,68.6,68.6,68.2
221,83.6,97,102.6,81.8,85.8,87.8,68.6,68.6,68.2,58.2,60.2,62
222,81.8,85.8,87.8,68.6,68.6,68.2,58.2,60.2,62,87.6,98.6,93.4
223,68.6,68.6,68.2,58.2,60.2,62,87.6,98.6,93.4,94.4,97.6,99.4
224,58.2,60.2,62,87.6,98.6,93.4,94.4,97.6,99.4,87.4,90.2,97
225,87.6,98.6,93.4,94.4,97.6,99.4,87.4,90.2,97,94,107.4,104.8
226,94.4,97.6,99.4,87.4,90.2,97,94,107.4,104.8,89.4,99.8,96.8
227,87.4,90.2,97,94,107.4,104.8,89.4,99.8,96.8,70,71.2,70.2
228,94,107.4,104.8,89.4,99.8,96.8,70,71.2,70.2,58.2,57.2,57.6
229,89.4,99.8,96.8,70,71.2,70.2,58.2,57.2,57.6,89,96.8,94.6
230,70,71.2,70.2,58.2,57.2,57.6,89,96.8,94.6,88.6,97,98.4
231,58.2,57.2,57.6,89,96.8,94.6,88.6,97,98.4,88.8,96.6,92
232,89,96.8,94.6,88.6,97,98.4,88.8,96.6,92,90,92.6,91.2
233,88.6,97,98.4,88.8,96.6,92,90,92.6,91.2,82.2,84.2,86.2
234,88.8,96.6,92,90,92.6,91.2,82.2,84.2,86.2,61.8,62.4,62.6
235,90,92.6,91.2,82.2,84.2,86.2,61.8,62.4,62.6,54.2,54,53.8
236,82.2,84.2,86.2,61.8,62.4,62.6,54.2,54,53.8,62.4,61.6,62
237,61.8,62.4,62.6,54.2,54,53.8,62.4,61.6,62,76.2,80.2,80
238,54.2,54,53.8,62.4,61.6,62,76.2,80.2,80,78.6,83,82.6
239,62.4,61.6,62,76.2,80.2,80,78.6,83,82.6,75.6,78.2,77.4
240,76.2,80.2,80,78.6,83,82.6,75.6,78.2,77.4,73.6,75,77.4
241,78.6,83,82.6,75.6,78.2,77.4,73.6,75,77.4,62,63.2,65.2
242,75.6,78.2,77.4,73.6,75,77.4,62,63.2,65.2,53.4,55,54.4
243,73.6,75,77.4,62,63.2,65.2,53.4,55,54.4,86.2,89.6,91.6
244,62,63.2,65.2,53.4,55,54.4,86.2,89.6,91.6,79.2,82.8,86.8
245,53.4,55,54.4,86.2,89.6,91.6,79.2,82.8,86.8,83.6,89.8,89.6
246,86.2,89.6,91.6,79.2,82.8,86.8,83.6,89.8,89.6,87.8,92,94.2
247,79.2,82.8,86.8,83.6,89.8,89.6,87.8,92,94.2,89,92.6,95.2
248,83.6,89.8,89.6,87.8,92,94.2,89,92.6,95.2,75.2,77.8,76.2
249,87.8,92,94.2,89,92.6,95.2,75.2,77.8,76.2,55,55.2,55
250,89,92.6,95.2,75.2,77.8,76.2,55,55.2,55,87.6,88.8,93
251,75.2,77.8,76.2,55,55.2,55,87.6,88.8,93,88,92.8,92.6
252,55,55.2,55,87.6,88.8,93,88,92.8,92.6,87.2,89.6,92.8
253,87.6,88.8,93,88,92.8,92.6,87.2,89.6,92.8,91.4,94.4,100.2
254,88,92.8,92.6,87.2,89.6,92.8,91.4,94.4,100.2,93,93,92.8
255,87.2,89.6,92.8,91.4,94.4,100.2,93,93,92.8,77,75.6,76.2
256,91.4,94.4,100.2,93,93,92.8,77,75.6,76.2,56.2,57.2,58.8
257,93,93,92.8,77,75.6,76.2,56.2,57.2,58.8,97.6,100.4,104
258,77,75.6,76.2,56.2,57.2,58.8,97.6,100.4,104,102.8,106.6,107.2
259,56.2,57.2,58.8,97.6,100.4,104,102.8,106.6,107.2,105,106.8,113.8
260,97.6,100.4,104,102.8,106.6,107.2,105,106.8,113.8,98.6,107.2,110
261,102.8,106.6,107.2,105,106.8,113.8,98.6,107.2,110,88.6,108.6,113.4
262,105,106.8,113.8,98.6,107.2,110,88.6,108.6,113.4,76.6,76.2,77.2
263,98.6,107.2,110,88.6,108.6,113.4,76.6,76.2,77.2,58.4,56.6,56.2
264,88.6,108.6,113.4,76.6,76.2,77.2,58.4,56.6,56.2,105.4,111.2,120.2
265,76.6,76.2,77.2,58.4,56.6,56.2,105.4,111.2,120.2,105.8,113.4,119
266,58.4,56.6,56.2,105.4,111.2,120.2,105.8,113.4,119,107.2,110.2,110.6
267,105.4,111.2,120.2,105.8,113.4,119,107.2,110.2,110.6,106.4,111,114.2
268,105.8,113.4,119,107.2,110.2,110.6,106.4,111,114.2,101,106.8,105.8
269,107.2,110.2,110.6,106.4,111,114.2,101,106.8,105.8,74.2,73.8,75
270,106.4,111,114.2,101,106.8,105.8,74.2,73.8,75,54,55.8,57.2
271,101,106.8,105.8,74.2,73.8,75,54,55.8,57.2,104.4,110.2,120.4
272,74.2,73.8,75,54,55.8,57.2,104.4,110.2,120.4,104.4,110.8,110.2
273,54,55.8,57.2,104.4,110.2,120.4,104.4,110.8,110.2,107.2,117.4,126
274,104.4,110.2,120.4,104.4,110.8,110.2,107.2,117.4,126,108.8,115,118
275,104.4,110.8,110.2,107.2,117.4,126,108.8,115,118,99.8,105,108.8
276,107.2,117.4,126,108.8,115,118,99.8,105,108.8,72.4,75.4,76.2
277,108.8,115,118,99.8,105,108.8,72.4,75.4,76.2,53,52.6,51.8
278,99.8,105,108.8,72.4,75.4,76.2,53,52.6,51.8,106,116.6,128.4
279,72.4,75.4,76.2,53,52.6,51.8,106,116.6,128.4,110.2,117.2,117.4
280,53,52.6,51.8,106,116.6,128.4,110.2,117.2,117.4,121,117.6,136.8
281,106,116.6,128.4,110.2,117.2,117.4,121,117.6,136.8,119.4,123.2,135.6
282,110.2,117.2,117.4,121,117.6,136.8,119.4,123.2,135.6,105,108.2,122.4
283,121,117.6,136.8,119.4,123.2,135.6,105,108.2,122.4,90.8,99.6,105.8
284,119.4,123.2,135.6,105,108.2,122.4,90.8,99.6,105.8,56,55.8,55.8
285,105,108.2,122.4,90.8,99.6,105.8,56,55.8,55.8,105.8,112,122.8
286,90.8,99.6,105.8,56,55.8,55.8,105.8,112,122.8,103.6,122,134
287,56,55.8,55.8,105.8,112,122.8,103.6,122,134,110.6,111.8,127
288,105.8,112,122.8,103.6,122,134,110.6,111.8,127,112.2,116.2,123.8
289,103.6,122,134,110.6,111.8,127,112.2,116.2,123.8,111.2,116.4,127.2
290,110.6,111.8,127,112.2,116.2,123.8,111.2,116.4,127.2,81,83,85.2
291,112.2,116.2,123.8,111.2,116.4,127.2,81,83,85.2,63.8,61.6,61.6
292,111.2,116.4,127.2,81,83,85.2,63.8,61.6,61.6,106,106.8,118.8
293,81,83,85.2,63.8,61.6,61.6,106,106.8,118.8,117.6,122.4,123.6
294,63.8,61.6,61.6,106,106.8,118.8,117.6,122.4,123.6,107.2,113,112.4
295,106,106.8,118.8,117.6,122.4,123.6,107.2,113,112.4,104.2,109.8,115.8
296,117.6,122.4,123.6,107.2,113,112.4,104.2,109.8,115.8,102.2,106.8,114.8
297,107.2,113,112.4,104.2,109.8,115.8,102.2,106.8,114.8,81.2,79,81.6
298,104.2,109.8,115.8,102.2,106.8,114.8,81.2,79,81.6,59.2,62.8,63.8
299,102.2,106.8,114.8,81.2,79,81.6,59.2,62.8,63.8,81.4,87,109.2
300,81.2,79,81.6,59.2,62.8,63.8,81.4,87,109.2,95.6,113.6,123.6
301,59.2,62.8,63.8,81.4,87,109.2,95.6,113.6,123.6,103.6,110,117.8
302,81.4,87,109.2,95.6,113.6,123.6,103.6,110,117.8,104.4,105.4,115.2
303,95.6,113.6,123.6,103.6,110,117.8,104.4,105.4,115.2,105.2,116,105.8
304,103.6,110,117.8,104.4,105.4,115.2,105.2,116,105.8,81,81.4,84.6
305,104.4,105.4,115.2,105.2,116,105.8,81,81.4,84.6,64.6,67.6,72.8
306,105.2,116,105.8,81,81.4,84.6,64.6,67.6,72.8,108,113.6,116.8
307,81,81.4,84.6,64.6,67.6,72.8,108,113.6,116.8,97,111.8,118
