,Day1,Day2,Day3,NextDay
74,134.6,123,97.4,70.6
75,123,97.4,70.6,156.4
76,97.4,70.6,156.4,145.4
77,70.6,156.4,145.4,131.6
78,156.4,145.4,131.6,136.6
79,145.4,131.6,136.6,131.2
80,131.6,136.6,131.2,104.4
81,136.6,131.2,104.4,62.6
82,131.2,104.4,62.6,141
83,104.4,62.6,141,138.8
84,62.6,141,138.8,141.2
85,141,138.8,141.2,134.6
86,138.8,141.2,134.6,96.6
87,141.2,134.6,96.6,97.6
88,134.6,96.6,97.6,63.2
89,96.6,97.6,63.2,96
90,97.6,63.2,96,145
91,63.2,96,145,140.4
92,96,145,140.4,132.2
93,145,140.4,132.2,131.4
94,140.4,132.2,131.4,92.2
95,132.2,131.4,92.2,60.2
96,131.4,92.2,60.2,140.6
97,92.2,60.2,140.6,138
98,60.2,140.6,138,131
99,140.6,138,131,137.4
100,138,131,137.4,138
101,131,137.4,138,96
102,137.4,138,96,57.6
103,138,96,57.6,121.4
104,96,57.6,121.4,119.4
105,57.6,121.4,119.4,123.6
106,121.4,119.4,123.6,122.8
107,119.4,123.6,122.8,120.8
108,123.6,122.8,120.8,96
109,122.8,120.8,96,61
110,120.8,96,61,117.6
111,96,61,117.6,121.2
112,61,117.6,121.2,119.8
113,117.6,121.2,119.8,119.4
114,121.2,119.8,119.4,118.2
115,119.8,119.4,118.2,97
116,119.4,118.2,97,63.8
117,118.2,97,63.8,143
118,97,63.8,143,122.2
119,63.8,143,122.2,122.8
120,143,122.2,122.8,115.6
121,122.2,122.8,115.6,108
122,122.8,115.6,108,76.6
123,115.6,108,76.6,62
124,108,76.6,62,72.4
125,76.6,62,72.4,115.2
126,62,72.4,115.2,103.8
127,72.4,115.2,103.8,114
128,115.2,103.8,114,110.6
129,103.8,114,110.6,78
130,114,110.6,78,62.8
131,110.6,78,62.8,109.4
132,78,62.8,109.4,105.8
133,62.8,109.4,105.8,106
134,109.4,105.8,106,103.8
135,105.8,106,103.8,105.6
136,106,103.8,105.6,77.6
137,103.8,105.6,77.6,60.6
138,105.6,77.6,60.6,103.6
139,77.6,60.6,103.6,99.6
140,60.6,103.6,99.6,102.6
141,103.6,99.6,102.6,101.2
142,99.6,102.6,101.2,95
143,102.6,101.2,95,73.8
144,101.2,95,73.8,60.2
145,95,73.8,60.2,69.6
146,73.8,60.2,69.6,100.2
147,60.2,69.6,100.2,95.8
148,69.6,100.2,95.8,103.6
149,100.2,95.8,103.6,98.8
150,95.8,103.6,98.8,70.6
151,103.6,98.8,70.6,56.6
152,98.8,70.6,56.6,97.6
153,70.6,56.6,97.6,119.2
154,56.6,97.6,119.2,103.8
155,97.6,119.2,103.8,93.2
156,119.2,103.8,93.2,96
157,103.8,93.2,96,72.8
158,93.2,96,72.8,56.4
159,96,72.8,56.4,99.4
160,72.8,56.4,99.4,96.6
161,56.4,99.4,96.6,104.8
162,99.4,96.6,104.8,100.4
163,96.6,104.8,100.4,98.2
164,104.8,100.4,98.2,84.2
165,100.4,98.2,84.2,57.4
166,98.2,84.2,57.4,100.4
167,84.2,57.4,100.4,106.4
168,57.4,100.4,106.4,93.8
169,100.4,106.4,93.8,103.2
170,106.4,93.8,103.2,98.6
171,93.8,103.2,98.6,75.8
172,103.2,98.6,75.8,64.6
173,98.6,75.8,64.6,108.6
174,75.8,64.6,108.6,112.6
175,64.6,108.6,112.6,109.6
176,108.6,112.6,109.6,105.2
177,112.6,109.6,105.2,103
178,109.6,105.2,103,78.4
179,105.2,103,78.4,62.6
180,103,78.4,62.6,117.6
181,78.4,62.6,117.6,99.2
182,62.6,117.6,99.2,99.8
183,117.6,99.2,99.8,102.2
184,99.2,99.8,102.2,105.8
185,99.8,102.2,105.8,70.6
186,102.2,105.8,70.6,65.4
187,105.8,70.6,65.4,109.8
188,70.6,65.4,109.8,87.4
189,65.4,109.8,87.4,98.4
190,109.8,87.4,98.4,100
191,87.4,98.4,100,90.8
192,98.4,100,90.8,73.2
193,100,90.8,73.2,67.6
194,90.8,73.2,67.6,113.6
195,73.2,67.6,113.6,102.8
196,67.6,113.6,102.8,96
197,113.6,102.8,96,100.4
198,102.8,96,100.4,99.2
199,96,100.4,99.2,73.8
200,100.4,99.2,73.8,65.6
201,99.2,73.8,65.6,119.2
202,73.8,65.6,119.2,111.8
203,65.6,119.2,111.8,111.6
204,119.2,111.8,111.6,115.8
205,111.8,111.6,115.8,106
206,111.6,115.8,106,67.6
207,115.8,106,67.6,61.8
208,106,67.6,61.8,100.2
209,67.6,61.8,100.2,95.2
210,61.8,100.2,95.2,114.8
211,100.2,95.2,114.8,95.4
212,95.2,114.8,95.4,96.2
213,114.8,95.4,96.2,71.2
214,95.4,96.2,71.2,64.6
215,96.2,71.2,64.6,99.2
216,71.2,64.6,99.2,105
217,64.6,99.2,105,96
218,99.2,105,96,102.6
219,105,96,102.6,87.8
220,96,102.6,87.8,68.2
221,102.6,87.8,68.2,62
222,87.8,68.2,62,93.4
223,68.2,62,93.4,99.4
224,62,93.4,99.4,97
225,93.4,99.4,97,104.8
226,99.4,97,104.8,96.8
227,97,104.8,96.8,70.2
228,104.8,96.8,70.2,57.6
229,96.8,70.2,57.6,94.6
230,70.2,57.6,94.6,98.4
231,57.6,94.6,98.4,92
232,94.6,98.4,92,91.2
233,98.4,92,91.2,86.2
234,92,91.2,86.2,62.6
235,91.2,86.2,62.6,53.8
236,86.2,62.6,53.8,62
237,62.6,53.8,62,80
238,53.8,62,80,82.6
239,62,80,82.6,77.4
240,80,82.6,77.4,77.4
241,82.6,77.4,77.4,65.2
242,77.4,77.4,65.2,54.4
243,77.4,65.2,54.4,91.6
244,65.2,54.4,91.6,86.8
245,54.4,91.6,86.8,89.6
246,91.6,86.8,89.6,94.2
247,86.8,89.6,94.2,95.2
248,89.6,94.2,95.2,76.2
249,94.2,95.2,76.2,55
250,95.2,76.2,55,93
251,76.2,55,93,92.6
252,55,93,92.6,92.8
253,93,92.6,92.8,100.2
254,92.6,92.8,100.2,92.8
255,92.8,100.2,92.8,76.2
256,100.2,92.8,76.2,58.8
257,92.8,76.2,58.8,104
258,76.2,58.8,104,107.2
259,58.8,104,107.2,113.8
260,104,107.2,113.8,110
261,107.2,113.8,110,113.4
262,113.8,110,113.4,77.2
263,110,113.4,77.2,56.2
264,113.4,77.2,56.2,120.2
265,77.2,56.2,120.2,119
266,56.2,120.2,119,110.6
267,120.2,119,110.6,114.2
268,119,110.6,114.2,105.8
269,110.6,114.2,105.8,75
270,114.2,105.8,75,57.2
271,105.8,75,57.2,120.4
272,75,57.2,120.4,110.2
273,57.2,120.4,110.2,126
274,120.4,110.2,126,118
275,110.2,126,118,108.8
276,126,118,108.8,76.2
277,118,108.8,76.2,51.8
278,108.8,76.2,51.8,128.4
279,76.2,51.8,128.4,117.4
280,51.8,128.4,117.4,136.8
281,128.4,117.4,136.8,135.6
282,117.4,136.8,135.6,122.4
283,136.8,135.6,122.4,105.8
284,135.6,122.4,105.8,55.8
285,122.4,105.8,55.8,122.8
286,105.8,55.8,122.8,134
287,55.8,122.8,134,127
288,122.8,134,127,123.8
289,134,127,123.8,127.2
290,127,123.8,127.2,85.2
291,123.8,127.2,85.2,61.6
292,127.2,85.2,61.6,118.8
293,85.2,61.6,118.8,123.6
294,61.6,118.8,123.6,112.4
295,118.8,123.6,112.4,115.8
296,123.6,112.4,115.8,114.8
297,112.4,115.8,114.8,81.6
298,115.8,114.8,81.6,63.8
299,114.8,81.6,63.8,109.2
300,81.6,63.8,109.2,123.6
301,63.8,109.2,123.6,117.8
302,109.2,123.6,117.8,115.2
303,123.6,117.8,115.2,105.8
304,117.8,115.2,105.8,84.6
305,115.2,105.8,84.6,72.8
306,105.8,84.6,72.8,116.8
307,84.6,72.8,116.8,118
308,72.8,116.8,118,112.8
309,116.8,118,112.8,108
310,118,112.8,108,112
311,112.8,108,112,87.8
312,108,112,87.8,57.2
313,112,87.8,57.2,116.4
314,87.8,57.2,116.4,116.4
315,57.2,116.4,116.4,111.4
316,116.4,116.4,111.4,114.2
317,116.4,111.4,114.2,114.8
318,111.4,114.2,114.8,75.2
319,114.2,114.8,75.2,60.4
320,114.8,75.2,60.4,124.4
321,75.2,60.4,124.4,128.6
322,60.4,124.4,128.6,131.6
323,124.4,128.6,131.6,132
324,128.6,131.6,132,119.6
325,131.6,132,119.6,82.2
326,132,119.6,82.2,61
327,119.6,82.2,61,129.8
328,82.2,61,129.8,134.8
329,61,129.8,134.8,124.6
330,129.8,134.8,124.6,107.6
331,134.8,124.6,107.6,112.4
332,124.6,107.6,112.4,85.8
333,107.6,112.4,85.8,61.2
334,112.4,85.8,61.2,117
335,85.8,61.2,117,123.6
336,61.2,117,123.6,117.4
337,117,123.6,117.4,115.8
338,123.6,117.4,115.8,116.4
339,117.4,115.8,116.4,81.8
340,115.8,116.4,81.8,63
341,116.4,81.8,63,130.6
342,81.8,63,130.6,118.4
343,63,130.6,118.4,122.4
344,130.6,118.4,122.4,125
345,118.4,122.4,125,129.4
346,122.4,125,129.4,91
347,125,129.4,91,64.6
348,129.4,91,64.6,102.8
349,91,64.6,102.8,104.4
350,64.6,102.8,104.4,103.4
351,102.8,104.4,103.4,98.8
352,104.4,103.4,98.8,96.6
353,103.4,98.8,96.6,68.4
354,98.8,96.6,68.4,54.2
355,96.6,68.4,54.2,78.6
356,68.4,54.2,78.6,77.2
357,54.2,78.6,77.2,73
358,78.6,77.2,73,78.4
359,77.2,73,78.4,79.4
360,73,78.4,79.4,70.4
361,78.4,79.4,70.4,59.6
362,79.4,70.4,59.6,77.4
363,70.4,59.6,77.4,80.2
364,59.6,77.4,80.2,111.6
365,77.4,80.2,111.6,113.8
366,80.2,111.6,113.8,108.6
367,111.6,113.8,108.6,79.6
368,113.8,108.6,79.6,62.4
369,108.6,79.6,62.4,108.8
370,79.6,62.4,108.8,105
371,62.4,108.8,105,118.4
372,108.8,105,118.4,110.2
373,105,118.4,110.2,112.2
374,118.4,110.2,112.2,87.6
375,110.2,112.2,87.6,65.8
376,112.2,87.6,65.8,110
377,87.6,65.8,110,105.8
378,65.8,110,105.8,106
379,110,105.8,106,115
380,105.8,106,115,116.4
381,106,115,116.4,95.8
382,115,116.4,95.8,68.4
383,116.4,95.8,68.4,139
384,95.8,68.4,139,135.8
385,68.4,139,135.8,128.2
386,139,135.8,128.2,136
387,135.8,128.2,136,105
388,128.2,136,105,91.6
389,136,105,91.6,67.8
390,105,91.6,67.8,139.2
391,91.6,67.8,139.2,135.2
392,67.8,139.2,135.2,125.8
393,139.2,135.2,125.8,136
394,135.2,125.8,136,111.4
395,125.8,136,111.4,87.2
396,136,111.4,87.2,71.6
397,111.4,87.2,71.6,134.8
398,87.2,71.6,134.8,125
399,71.6,134.8,125,119.8
400,134.8,125,119.8,119.2
401,125,119.8,119.2,120.2
402,119.8,119.2,120.2,96.8
403,119.2,120.2,96.8,65.8
404,120.2,96.8,65.8,119
405,96.8,65.8,119,133
406,65.8,119,133,118.8
407,119,133,118.8,117.2
408,133,118.8,117.2,113.8
409,118.8,117.2,113.8,84.6
410,117.2,113.8,84.6,55
411,113.8,84.6,55,101.4
412,84.6,55,101.4,107.2
413,55,101.4,107.2,101.4
414,101.4,107.2,101.4,106.8
415,107.2,101.4,106.8,101
416,101.4,106.8,101,78.4
417,106.8,101,78.4,57
418,101,78.4,57,98.4
419,78.4,57,98.4,102.4
420,57,98.4,102.4,109
421,98.4,102.4,109,111.6
422,102.4,109,111.6,104
423,109,111.6,104,82.2
424,111.6,104,82.2,58.6
425,104,82.2,58.6,116
426,82.2,58.6,116,112.6
427,58.6,116,112.6,108.6
428,116,112.6,108.6,107.2
429,112.6,108.6,107.2,103
430,108.6,107.2,103,81
431,107.2,103,81,53.2
432,103,81,53.2,113.6
433,81,53.2,113.6,100.8
434,53.2,113.6,100.8,124
435,113.6,100.8,124,124.8
436,100.8,124,124.8,119
437,124,124.8,119,89.4
438,124.8,119,89.4,58.2
439,119,89.4,58.2,133.8
440,89.4,58.2,133.8,124
441,58.2,133.8,124,126.2
442,133.8,124,126.2,121.8
443,124,126.2,121.8,123.8
444,126.2,121.8,123.8,95.6
445,121.8,123.8,95.6,54.2
446,123.8,95.6,54.2,125.8
447,95.6,54.2,125.8,128.2
448,54.2,125.8,128.2,116.2
449,125.8,128.2,116.2,123.8
450,128.2,116.2,123.8,112.8
451,116.2,123.8,112.8,106.4
452,123.8,112.8,106.4,51.4
453,112.8,106.4,51.4,129.4
454,106.4,51.4,129.4,137
455,51.4,129.4,137,132.4
456,129.4,137,132.4,140.8
457,137,132.4,140.8,125.2
458,132.4,140.8,125.2,94
459,140.8,125.2,94,55.4
460,125.2,94,55.4,137.8
461,94,55.4,137.8,127.2
462,55.4,137.8,127.2,131
463,137.8,127.2,131,132
464,127.2,131,132,127.8
465,131,132,127.8,100.2
466,132,127.8,100.2,53.6
467,127.8,100.2,53.6,108.4
468,100.2,53.6,108.4,120
469,53.6,108.4,120,106.8
470,108.4,120,106.8,103
471,120,106.8,103,89.6
472,106.8,103,89.6,88.4
473,103,89.6,88.4,48.2
474,89.6,88.4,48.2,103.4
475,88.4,48.2,103.4,125.6
476,48.2,103.4,125.6,100
477,103.4,125.6,100,98.2
478,125.6,100,98.2,92.4
479,100,98.2,92.4,80.8
480,98.2,92.4,80.8,51.8
481,92.4,80.8,51.8,111.2
482,80.8,51.8,111.2,108.4
483,51.8,111.2,108.4,105.8
484,111.2,108.4,105.8,103
485,108.4,105.8,103,106.4
486,105.8,103,106.4,78.8
487,103,106.4,78.8,53.6
488,106.4,78.8,53.6,78.4
489,78.8,53.6,78.4,106.4
490,53.6,78.4,106.4,115.2
491,78.4,106.4,115.2,108.6
492,106.4,115.2,108.6,96.2
493,115.2,108.6,96.2,82
494,108.6,96.2,82,52.8
495,96.2,82,52.8,100.8
496,82,52.8,100.8,107.6
497,52.8,100.8,107.6,76.2
